Name,Card Link,Collector Number,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
Blazing Scorcher,https://riftdecks.com/cards/details-blazing-scorcher,OGN-001/298,common,fury,,unit,dragon,noxus,,,,,5,5,,5,5,[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.),Riftbound Unit: Blazing Scorcher. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.),
Brazen Buccaneer,https://riftdecks.com/cards/details-brazen-buccaneer,OGN-002/298,common,fury,,unit,pirate,bilgewater,,,,,6,6,,,5,"As you play me, you may discard 1 as an additional cost by [2].","Riftbound Unit: Brazen Buccaneer. As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by [2].",
Chemtech Enforcer,https://riftdecks.com/cards/details-chemtech-enforcer,OGN-003/298,common,fury,,unit,zaun,,,,,,2,2,,2,2,"[Assault 2] (+2 [S] while I'm an attacker.)
When you play me, discard 1.","Riftbound Unit: Chemtech Enforcer. [Assault 2] (+2 [S] while I'm an attacker.)
When you play me, discard 1.",
Cleave,https://riftdecks.com/cards/details-cleave,OGN-004/298,common,fury,,spell,,,,,,,1,1,,1,,"[Action] (Play on your turn or in showdowns.)
Give a unit [Assault 3] this turn. (+3 [S] while it's an attacker.)","Riftbound Spell: Cleave. [Action] (Play on your turn or in showdowns.)
Give a unit [Assault 3] this turn. (+3 [S] while it's an attacker.)",
Disintegrate,https://riftdecks.com/cards/details-disintegrate,OGN-005/298,common,fury,,spell,,,,,,,4,4,,4,,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, draw 1.","Riftbound Spell: Disintegrate. [Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, draw 1.",
Flame Chompers,https://riftdecks.com/cards/details-flame-chompers,OGN-006/298,common,fury,,unit,zaun,,,,,,3,3,,3,3,"When you discard me, you may pay [C] to play me.","Riftbound Unit: Flame Chompers. When you discard me, you may pay [C] to play me.",
Fury Rune,https://riftdecks.com/cards/details-fury-rune,OGN-007/298,common,fury,,rune,,,,,,basic,,,,-,,,Riftbound Rune: Fury Rune.,
Get Excited!,https://riftdecks.com/cards/details-get-excited,OGN-008/298,common,fury,,spell,,,,,,,2,2,C,2C,,"[Action] (Play on your turn or in showdowns.)
Discard 1. Deal its Energy cost.)","Riftbound Spell: Get Excited!. [Action] (Play on your turn or in showdowns.)
Discard 1. Deal its Energy cost.)",
Hextech Ray,https://riftdecks.com/cards/details-hextech-ray,OGN-009/298,common,fury,,spell,,,,,,,1,1,C,1C,,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield.","Riftbound Spell: Hextech Ray. [Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield.",
Legion Rearguard,https://riftdecks.com/cards/details-legion-rearguard,OGN-010/298,common,fury,,unit,trifarian,noxus,,,,,2,2,,2,2,[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.),Riftbound Unit: Legion Rearguard. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.),
Magma Wurm,https://riftdecks.com/cards/details-magma-wurm,OGN-011/298,common,fury,,unit,freljord,,,,,,8,8,C,8C,8,Other friendly units enter ready.,Riftbound Unit: Magma Wurm. Other friendly units enter ready.,
Noxus Hopeful,https://riftdecks.com/cards/details-noxus-hopeful,OGN-012/298,common,fury,,unit,trifarian,noxus,,,,,4,4,,4,4,[Legion] — I cost [2] less. (Get the effect if you've played another card this turn.),Riftbound Unit: Noxus Hopeful. [Legion] — I cost [2] less. (Get the effect if you've played another card this turn.),
Pouty Poro,https://riftdecks.com/cards/details-pouty-poro,OGN-013/298,common,fury,,unit,poro,,,,,,2,2,,2,2,[Deflect] (Opponents must pay [A] to choose me with a spell or ability.),Riftbound Unit: Pouty Poro. [Deflect] (Opponents must pay [A] to choose me with a spell or ability.),
Sky Splitter,https://riftdecks.com/cards/details-sky-splitter,OGN-014/298,common,fury,,spell,,,,,,,8,8,C,8C,,"[Action] (Play on your turn or in showdowns.)
This spell's Energy cost is reduced by the highest Might among units you control.
Deal 5 to a unit at a battlefield.","Riftbound Spell: Sky Splitter. [Action] (Play on your turn or in showdowns.)
This spell's Energy cost is reduced by the highest Might among units you control.
Deal 5 to a unit at a battlefield.",
Captain Farron,https://riftdecks.com/cards/details-captain-farron,OGN-015/298,uncommon,fury,,unit,trifarian,noxus,,,,,4,4,C,4C,5,Other friendly units here have [Assault]. (+1 [S] while they're attackers.),Riftbound Unit: Captain Farron. Other friendly units here have [Assault]. (+1 [S] while they're attackers.),
Dangerous Duo,https://riftdecks.com/cards/details-dangerous-duo,OGN-016/298,uncommon,fury,,unit,mech,bandlecity,,,,,3,3,,3,3,"[Legion] — When you play me, give a unit +2 [S] this turn. (Get the effect if you've played another card this turn.)","Riftbound Unit: Dangerous Duo. [Legion] — When you play me, give a unit +2 [S] this turn. (Get the effect if you've played another card this turn.)",
Iron Ballista,https://riftdecks.com/cards/details-iron-ballista,OGN-017/298,uncommon,fury,,gear,,,,,,,3,3,,3,,"This enters exhausted.
[T]: Deal 2 to a unit at a battlefield.","Riftbound Gear: Iron Ballista. This enters exhausted.
[T]: Deal 2 to a unit at a battlefield.",
Noxus Saboteur,https://riftdecks.com/cards/details-noxus-saboteur,OGN-018/298,uncommon,fury,,unit,trifarian,noxus,,,,,3,3,,3,3,Your opponents' [Hidden] cards can't be revealed here.,Riftbound Unit: Noxus Saboteur. Your opponents' [Hidden] cards can't be revealed here.,
Raging Soul,https://riftdecks.com/cards/details-raging-soul,OGN-019/298,uncommon,fury,,unit,spirit,shadowisles,,,,,4,4,,4,4,"If you've discarded a card this turn, I have [Assault] and [Ganking]. (+1 [S] while I'm an attacker. I can move from battlefield to battlefield.)","Riftbound Unit: Raging Soul. If you've discarded a card this turn, I have [Assault] and [Ganking]. (+1 [S] while I'm an attacker. I can move from battlefield to battlefield.)",
Scrapyard Champion,https://riftdecks.com/cards/details-scrapyard-champion,OGN-020/298,uncommon,fury,,unit,mech,bandlecity,,,,,5,5,C,5C,5,"[Legion] — When you play me, discard 2, then draw 2. (Get the effect if you've played another card this turn.)","Riftbound Unit: Scrapyard Champion. [Legion] — When you play me, discard 2, then draw 2. (Get the effect if you've played another card this turn.)",
Sun Disc,https://riftdecks.com/cards/details-sun-disc,OGN-021/298,uncommon,fury,,gear,,,,,,,2,2,C,2C,,[T]: [Legion] — The next unit you play this turn enters ready. (Get the effect if you've played another card this turn.),Riftbound Gear: Sun Disc. [T]: [Legion] — The next unit you play this turn enters ready. (Get the effect if you've played another card this turn.),
Thermo Beam,https://riftdecks.com/cards/details-thermo-beam,OGN-022/298,uncommon,fury,,spell,,,,,,,5,5,CC,5CC,,"[Action] (Play on your turn or in showdowns.)
Kill all gear.","Riftbound Spell: Thermo Beam. [Action] (Play on your turn or in showdowns.)
Kill all gear.",
Unlicensed Armory,https://riftdecks.com/cards/details-unlicensed-armory,OGN-023/298,uncommon,fury,,gear,,,,,,,2,2,,2,,"Discard 1, [T]: Choose a friendly unit. The next time it dies this turn, you may pay [C] to recall it exhausted instead. (Send it to base. This isn't a move.)","Riftbound Gear: Unlicensed Armory. Discard 1, [T]: Choose a friendly unit. The next time it dies this turn, you may pay [C] to recall it exhausted instead. (Send it to base. This isn't a move.)",
Void Seeker,https://riftdecks.com/cards/details-void-seeker,OGN-024/298,uncommon,fury,,spell,,,,,,,3,3,C,3C,,"[Action] (Play on your turn or in showdowns.)
Deal 4 to a unit at a battlefield. Draw 1.","Riftbound Spell: Void Seeker. [Action] (Play on your turn or in showdowns.)
Deal 4 to a unit at a battlefield. Draw 1.",
Blind Fury,https://riftdecks.com/cards/details-blind-fury,OGN-025/298,rare,fury,,spell,,,,,,,4,4,CC,4CC,,"[Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.","Riftbound Spell: Blind Fury. [Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and play it, ignoring its cost. Then recycle the rest.",
Brynhir Thundersong,https://riftdecks.com/cards/details-brynhir-thundersong,OGN-026/298,rare,fury,,unit,freljord,,,,,,6,6,,6,5,"When you play me, opponents can't play cards this turn.","Riftbound Unit: Brynhir Thundersong. When you play me, opponents can't play cards this turn.",
"Darius, Trifarian",https://riftdecks.com/cards/details-darius-trifarian,OGN-027a/298,showcase,fury,,unit,trifarian,darius,noxus,,,champion,5,5,C,5C,5,"When you play your second card in a turn, give me +2 [S] this turn and ready me.","Riftbound Unit: Darius, Trifarian. When you play your second card in a turn, give me +2 [S] this turn and ready me.",
"Draven, Showboat",https://riftdecks.com/cards/details-draven-showboat,OGN-028/298,rare,fury,,unit,draven,noxus,,,,champion,5,5,C,5C,3,My Might is increased by your points.,"Riftbound Unit: Draven, Showboat. My Might is increased by your points.",
Falling Star,https://riftdecks.com/cards/details-falling-star,OGN-029/298,rare,fury,,spell,,,,,,,2,2,CC,2CC,,"Do this twice:
Deal 3 to a unit. (You can choose different units.)","Riftbound Spell: Falling Star. Do this twice:
Deal 3 to a unit. (You can choose different units.)",
"Jinx, Demolitionist",https://riftdecks.com/cards/details-jinx-demolitionist,OGN-030a/298,showcase,fury,,unit,jinx,zaun,,,,champion,3,3,C,3C,4,"[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.)
[Assault 2] (+2 [S] while I'm an attacker.)
When you play me, discard 2.","Riftbound Unit: Jinx, Demolitionist. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)",
Raging Firebrand,https://riftdecks.com/cards/details-raging-firebrand,OGN-031/298,rare,fury,,unit,dragon,mounttargon,,,,,6,6,C,6C,4,"When you play me, the next spell you play this turn costs [5] less.","Riftbound Unit: Raging Firebrand. When you play me, the next spell you play this turn",
Ravenborn Tome,https://riftdecks.com/cards/details-ravenborn-tome,OGN-032/298,rare,fury,,gear,,,,,,,3,3,,3,,[T]: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),Riftbound Gear: Ravenborn Tome. [T]: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),
Shakedown,https://riftdecks.com/cards/details-shakedown,OGN-033/298,rare,fury,,spell,,,,,,,2,2,C,2C,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Choose an enemy unit. Deal 6 to it unless its controller has you draw 2.","Riftbound Spell: Shakedown. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose an enemy unit. Deal 6 to it unless its controller has you draw 2.",
"Tryndamere, Barbarian",https://riftdecks.com/cards/details-tryndamere-barbarian,OGN-034/298,rare,fury,,unit,tryndamere,freljord,,,,champion,7,7,CC,7CC,8,"When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.","Riftbound Unit: Tryndamere, Barbarian. When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.",
"Vi, Destructive",https://riftdecks.com/cards/details-vi-destructive,OGN-036/298,rare,fury,,unit,vi,piltover,,,,champion,2,2,C,2C,3,"[Ganking] (I can move from battlefield to battlefield.)
Recycle 1 from your trash: Give me +1 [S] this turn.","Riftbound Unit: Vi, Destructive. [Ganking] (I can move from battlefield to battlefield.)
Recycle 1 from your trash: Give me +1 [S] this turn.",
Immortal Phoenix,https://riftdecks.com/cards/details-immortal-phoenix,OGN-037/298,epic,fury,,unit,spirit,,,,,,3,3,C,3C,3,"[Assault 2] (+2 [S] while I'm an attacker.)
When you kill a unit with a spell, you may pay \[1]\[C] to play me from your trash.","Riftbound Unit: Immortal Phoenix. [Assault 2] (+2 [S] while I'm an attacker.)
When you kill a unit with a spell, you may pay [1][C] to play me from your trash.",
Kadregrin the Infernal,https://riftdecks.com/cards/details-kadregrin-the-infernal,OGN-038/298,epic,fury,,unit,dragon,demacia,,,,,9,9,CC,9CC,9,"When you play me, draw 1 for each of your [Mighty] units. (A unit is Mighty while it has 5+ [S].)","Riftbound Unit: Kadregrin the Infernal. When you play me, draw 1 for each of your [Mighty] units. (A unit is Mighty while it has 5+ [S].)",
"Kai'Sa, Survivor",https://riftdecks.com/cards/details-kaisa-survivor,OGN-039/298,epic,fury,,unit,kaisa,thevoid,,,,champion,4,4,,4,4,"[Accelerate] (You may pay \[1]\[C] as an additional cost to have me enter ready.)
When I conquer, draw 1.""","Riftbound Unit: Kai'Sa, Survivor. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)",
"Volibear, Furious",https://riftdecks.com/cards/details-volibear-furious,OGN-041a/298,showcase,fury,,unit,volibear,freljord,,,,champion,10,10,CC,10CC,9,"[Deflect 2] (Opponents must pay \[A]\[A] to choose me with a spell or ability.)
When I attack, deal 5 damage split among any number of enemy units here.","Riftbound Unit: Volibear, Furious. [Deflect 2] (Opponents must pay [A][A] to choose me with a spell or ability.)
When I attack, deal 5 damage split among any number of enemy units here.",
Calm Rune,https://riftdecks.com/cards/details-calm-rune,OGN-042a/298,showcase,calm,,rune,,,,,,basic,,,,-,,,Riftbound Rune: Calm Rune.,
Charm,https://riftdecks.com/cards/details-charm,OGN-043/298,common,calm,,spell,,,,,,,1,1,C,1C,,Move an enemy unit.,Riftbound Spell: Charm. Move an enemy unit.,
Clockwork Keeper,https://riftdecks.com/cards/details-clockwork-keeper,OGN-044/298,common,calm,,unit,shurima,,,,,,2,2,,2,2,"As you play me, you may pay [C] as an additional cost. If you do, draw 1.","Riftbound Unit: Clockwork Keeper. As you play me, you may pay [C] as an additional cost. If you do, draw 1.",
